name_en, category, name_jp, name_jp_phonetic, dex_num, photo_link, type_1, type_2, ability_1, ability_2, ability_3, hp, attack, defense, special attack, special defense, speed, 
Parasect, Mushroom Pokémon, パラセクト, Parasect, #0047, https://archives.bulbagarden.net/wiki/Category:Parasect, Bug, Grass, Effect Spore, Dry Skin, Damp, 60, 95, 80, 60, 80, 30, 
Venonat, Insect Pokémon, コンパン, Kongpang, #0048, https://archives.bulbagarden.net/wiki/Category:Venonat, Bug, Poison, Compound Eyes, Tinted Lens, Run Away, 60, 55, 50, 40, 55, 45, 
Venomoth,  Pokémon, モルフォン, Morphon, #0049, https://archives.bulbagarden.net/wiki/Category:Venomoth, Bug, Poison, Shield Dust, Tinted Lens, Wonder Skin, 70, 65, 60, 90, 75, 90, 
Diglett, Mole Pokémon, ディグダ, Digda, #0050, https://archives.bulbagarden.net/wiki/Category:Diglett, Ground, None, Sand Veil, Arena Trap, Sand Force, 10, 55, 25, 35, 45, 95, 
Dugtrio, Mole Pokémon, ダグトリオ, Dugtrio, #0051, https://archives.bulbagarden.net/wiki/Category:Dugtrio, Ground, None, Sand Veil, Arena Trap, Sand Force, 35, 100, 50, 50, 70, 120, 
Meowth,  Pokémon, ニャース, Nyarth, #0052, https://archives.bulbagarden.net/wiki/Category:Meowth, Normal, None, Pickup, Technician, Unnerve, 40, 45, 35, 40, 40, 90, 
Persian, Classy Cat Pokémon, ペルシアン, Persian, #0053, https://archives.bulbagarden.net/wiki/Category:Persian, Normal, None, Limber, Technician, Unnerve, 65, 70, 60, 65, 65, 115, 
Psyduck, Duck Pokémon, コダック, Koduck, #0054, https://archives.bulbagarden.net/wiki/Category:Psyduck, Water, None, Damp, Cloud Nine, Swift Swim, 50, 52, 48, 65, 50, 55, 
Golduck, Duck Pokémon, ゴルダック, Golduck, #0055, https://archives.bulbagarden.net/wiki/Category:Golduck, Water, None, Damp, Cloud Nine, Swift Swim, 80, 82, 78, 95, 80, 85, 
Mankey, Pig Monkey Pokémon, マンキー, Mankey, #0056, https://archives.bulbagarden.net/wiki/Category:Mankey, Fighting, None, Vital Spirit, Anger Point, Defiant, 40, 80, 35, 35, 45, 70, 
Primeape, Pig Monkey Pokémon, オコリザル, Okorizaru, #0057, https://archives.bulbagarden.net/wiki/Category:Primeape, Fighting, None, Vital Spirit, Anger Point, Defiant, 65, 105, 60, 60, 70, 95, 
Growlithe,  Pokémon, ガーディ, Gardie, #0058, https://archives.bulbagarden.net/wiki/Category:Growlithe, Fire, None, Intimidate, Flash Fire, Justified, 55, 70, 45, 70, 50, 60, 
Arcanine, Legendary Pokémon, ウインディ, Windie, #0059, https://archives.bulbagarden.net/wiki/Category:Arcanine, Fire, None, Intimidate, Flash Fire, Justified, 90, 110, 80, 100, 80, 95, 
Poliwag, Tadpole Pokémon, ニョロモ, Nyoromo, #0060, https://archives.bulbagarden.net/wiki/Category:Poliwag, Water, None, Water Absorb, Damp, Swift Swim, 40, 50, 40, 40, 40, 90, 
Poliwhirl, Tadpole Pokémon, ニョロゾ, Nyorozo, #0061, https://archives.bulbagarden.net/wiki/Category:Poliwhirl, Water, None, Water Absorb, Damp, Swift Swim, 65, 65, 65, 50, 50, 90, 
Poliwrath, Tadpole Pokémon, ニョロボン, Nyorobon, #0062, https://archives.bulbagarden.net/wiki/Category:Poliwrath, Water, Fighting, Water Absorb, Damp, Swift Swim, 90, 95, 95, 70, 90, 70, 
Abra, Psi Pokémon, ケーシィ, Casey, #0063, https://archives.bulbagarden.net/wiki/Category:Abra, Psychic, None, Synchronize, Inner Focus, Magic Guard, 25, 20, 15, 105, 55, 90, 
Kadabra, Psi Pokémon, ユンゲラー, Yungerer, #0064, https://archives.bulbagarden.net/wiki/Category:Kadabra, Psychic, None, Synchronize, Inner Focus, Magic Guard, 40, 35, 30, 120, 70, 105, 
Alakazam, Psi Pokémon, フーディン, Foodin, #0065, https://archives.bulbagarden.net/wiki/Category:Alakazam, Psychic, None, Synchronize, Inner Focus, Magic Guard, 55, 50, 45, 135, 95, 120, 
Machop, Superpower Pokémon, ワンリキー, Wanriky, #0066, https://archives.bulbagarden.net/wiki/Category:Machop, Fighting, None, Guts, No Guard, Steadfast, 70, 80, 50, 35, 35, 35, 
Machoke, Superpower Pokémon, ゴーリキー, Goriky, #0067, https://archives.bulbagarden.net/wiki/Category:Machoke, Fighting, None, Guts, No Guard, Steadfast, 80, 100, 70, 50, 60, 45, 
Machamp, Superpower Pokémon, カイリキー, Kairiky, #0068, https://archives.bulbagarden.net/wiki/Category:Machamp, Fighting, None, Guts, No Guard, Steadfast, 90, 130, 80, 65, 85, 55, 
Bellsprout, Flower Pokémon, マダツボミ, Madatsubomi, #0069, https://archives.bulbagarden.net/wiki/Category:Bellsprout, Grass, Poison, Chlorophyll, None, Gluttony, 50, 75, 35, 70, 30, 40, 
Weepinbell, Flycatcher Pokémon, ウツドン, Utsudon, #0070, https://archives.bulbagarden.net/wiki/Category:Weepinbell, Grass, Poison, Chlorophyll, None, Gluttony, 65, 90, 50, 85, 45, 55, 
Victreebel, Flycatcher Pokémon, ウツボット, Utsubot, #0071, https://archives.bulbagarden.net/wiki/Category:Victreebel, Grass, Poison, Chlorophyll, None, Gluttony, 80, 105, 65, 100, 70, 70, 
Tentacool, Jellyfish Pokémon, メノクラゲ, Menokurage, #0072, https://archives.bulbagarden.net/wiki/Category:Tentacool, Water, Poison, Clear Body, Liquid Ooze, Rain Dish, 40, 40, 35, 50, 100, 70, 
Tentacruel, Jellyfish Pokémon, ドククラゲ, Dokukurage, #0073, https://archives.bulbagarden.net/wiki/Category:Tentacruel, Water, Poison, Clear Body, Liquid Ooze, Rain Dish, 80, 70, 65, 80, 120, 100, 
Geodude, Rock Pokémon, イシツブテ, Isitsubute, #0074, https://archives.bulbagarden.net/wiki/Category:Geodude, Rock, Ground, Rock Head, Sturdy, Sand Veil, 40, 80, 100, 30, 30, 20, 
Graveler, Rock Pokémon, ゴローン, Golone, #0075, https://archives.bulbagarden.net/wiki/Category:Graveler, Rock, Ground, Rock Head, Sturdy, Sand Veil, 55, 95, 115, 45, 45, 35, 
Golem, Megaton Pokémon, ゴローニャ, Golonya, #0076, https://archives.bulbagarden.net/wiki/Category:Golem, Rock, Ground, Rock Head, Sturdy, Sand Veil, 80, 120, 130, 55, 65, 45, 
Ponyta,  Pokémon, ポニータ, Ponyta, #0077, https://archives.bulbagarden.net/wiki/Category:Ponyta, Fire, None, Run Away, Flash Fire, Flame Body, 50, 85, 55, 65, 65, 90, 
Rapidash,  Pokémon, ギャロップ, Gallop, #0078, https://archives.bulbagarden.net/wiki/Category:Rapidash, Fire, None, Run Away, Flash Fire, Flame Body, 65, 100, 70, 80, 80, 105, 
Slowpoke, Dopey Pokémon, ヤドン, Yadon, #0079, https://archives.bulbagarden.net/wiki/Category:Slowpoke, Water, Psychic, Oblivious, Own Tempo, Regenerator, 90, 65, 65, 40, 40, 15, 
Slowbro,  Pokémon, ヤドラン, Yadoran, #0080, https://archives.bulbagarden.net/wiki/Category:Slowbro, Water, Psychic, Oblivious, Own Tempo, Regenerator, 95, 75, 110, 100, 80, 30, 
Magnemite, Magnet Pokémon, コイル, Coil, #0081, https://archives.bulbagarden.net/wiki/Category:Magnemite, Electric, Steel, Magnet Pull, Sturdy, Analytic, 25, 35, 70, 95, 55, 45, 
Magneton, Magnet Pokémon, レアコイル, Rarecoil, #0082, https://archives.bulbagarden.net/wiki/Category:Magneton, Electric, Steel, Magnet Pull, Sturdy, Analytic, 50, 60, 95, 120, 70, 70, 
Farfetch'd, Wild Duck Pokémon, カモネギ, Kamonegi, #0083, https://archives.bulbagarden.net/wiki/Category:Farfetch%27d, Normal, Flying, Keen Eye, Inner Focus, Defiant, 52, 90, 55, 58, 62, 60, 
Doduo, Twin Bird Pokémon, ドードー, Dodo, #0084, https://archives.bulbagarden.net/wiki/Category:Doduo, Normal, Flying, Run Away, Early Bird, Tangled Feet, 35, 85, 45, 35, 35, 75, 
Dodrio,  Pokémon, ドードリオ, Dodorio, #0085, https://archives.bulbagarden.net/wiki/Category:Dodrio, Normal, Flying, Run Away, Early Bird, Tangled Feet, 60, 110, 70, 60, 60, 110, 
Seel, Sea Lion Pokémon, パウワウ, Pawou, #0086, https://archives.bulbagarden.net/wiki/Category:Seel, Water, None, Thick Fat, Hydration, Ice Body, 65, 45, 55, 45, 70, 45, 
Dewgong, Sea Lion Pokémon, ジュゴン, Jugon, #0087, https://archives.bulbagarden.net/wiki/Category:Dewgong, Water, Ice, Thick Fat, Hydration, Ice Body, 90, 70, 80, 70, 95, 70, 
Grimer, Sludge Pokémon, ベトベター, Betbeter, #0088, https://archives.bulbagarden.net/wiki/Category:Grimer, Poison, None, Stench, Sticky Hold, Poison Touch, 80, 80, 50, 40, 50, 25, 
Muk, Sludge Pokémon, ベトベトン, Betbeton, #0089, https://archives.bulbagarden.net/wiki/Category:Muk, Poison, None, Stench, Sticky Hold, Poison Touch, 105, 105, 75, 65, 100, 50, 
Shellder, Bivalve Pokémon, シェルダー, Shellder, #0090, https://archives.bulbagarden.net/wiki/Category:Shellder, Water, None, Shell Armor, Skill Link, Overcoat, 30, 65, 100, 45, 25, 40, 
Cloyster, Bivalve Pokémon, パルシェン, Parshen, #0091, https://archives.bulbagarden.net/wiki/Category:Cloyster, Water, Ice, Shell Armor, Skill Link, Overcoat, 50, 95, 180, 85, 45, 70, 
Gastly, Gas Pokémon, ゴース, Ghos, #0092, https://archives.bulbagarden.net/wiki/Category:Gastly, Ghost, Poison, Levitate, None, None, 30, 35, 30, 100, 35, 80, 
Haunter, Gas Pokémon, ゴースト, Ghost, #0093, https://archives.bulbagarden.net/wiki/Category:Haunter, Ghost, Poison, Levitate, None, None, 45, 50, 45, 115, 55, 95, 
Gengar, Shadow Pokémon, ゲンガー, Gangar, #0094, https://archives.bulbagarden.net/wiki/Category:Gengar, Ghost, Poison, Cursed Body, None, None, 60, 65, 60, 130, 75, 110, 
Onix, Rock Snake Pokémon, イワーク, Iwark, #0095, https://archives.bulbagarden.net/wiki/Category:Onix, Rock, Ground, Rock Head, Sturdy, Weak Armor, 35, 45, 160, 30, 45, 70, 
Drowzee, Hypnosis Pokémon, スリープ, Sleepe, #0096, https://archives.bulbagarden.net/wiki/Category:Drowzee, Psychic, None, Insomnia, Forewarn, Inner Focus, 60, 48, 45, 43, 90, 42, 
Hypno, Hypnosis Pokémon, スリーパー, Sleeper, #0097, https://archives.bulbagarden.net/wiki/Category:Hypno, Psychic, None, Insomnia, Forewarn, Inner Focus, 85, 73, 70, 73, 115, 67, 
Krabby, River Crab Pokémon, クラブ, Crab, #0098, https://archives.bulbagarden.net/wiki/Category:Krabby, Water, None, Hyper Cutter, Shell Armor, Sheer Force, 30, 105, 90, 25, 25, 50, 
Kingler, Pincer Pokémon, キングラー, Kingler, #0099, https://archives.bulbagarden.net/wiki/Category:Kingler, Water, None, Hyper Cutter, Shell Armor, Sheer Force, 55, 130, 115, 50, 50, 75, 
Voltorb,  Pokémon, ビリリダマ, Biriridama, #0100, https://archives.bulbagarden.net/wiki/Category:Voltorb, Electric, None, Soundproof, Static, Aftermath, 40, 30, 50, 55, 55, 100, 
Electrode,  Pokémon, マルマイン, Marumine, #0101, https://archives.bulbagarden.net/wiki/Category:Electrode, Electric, None, Soundproof, Static, Aftermath, 60, 50, 70, 80, 80, 150, 
Exeggcute, Egg Pokémon, タマタマ, Tamatama, #0102, https://archives.bulbagarden.net/wiki/Category:Exeggcute, Grass, Psychic, Chlorophyll, None, Harvest, 60, 40, 80, 60, 45, 40, 
Exeggutor, Coconut Pokémon, ナッシー, Nassy, #0103, https://archives.bulbagarden.net/wiki/Category:Exeggutor, Grass, Psychic, Chlorophyll, None, Harvest, 95, 95, 85, 125, 75, 55, 
Cubone, Lonely Pokémon, カラカラ, Karakara, #0104, https://archives.bulbagarden.net/wiki/Category:Cubone, Ground, None, Rock Head, Lightning Rod, Battle Armor, 50, 50, 95, 40, 50, 35, 
Marowak,  Pokémon, ガラガラ, Garagara, #0105, https://archives.bulbagarden.net/wiki/Category:Marowak, Ground, None, Rock Head, Lightning Rod, Battle Armor, 60, 80, 110, 50, 80, 45, 
Hitmonlee, Kicking Pokémon, サワムラー, Sawamular, #0106, https://archives.bulbagarden.net/wiki/Category:Hitmonlee, Fighting, None, Limber, Reckless, Unburden, 50, 120, 53, 35, 110, 87, 
Hitmonchan, Punching Pokémon, エビワラー, Ebiwalar, #0107, https://archives.bulbagarden.net/wiki/Category:Hitmonchan, Fighting, None, Keen Eye, Iron Fist, Inner Focus, 50, 105, 79, 35, 110, 76, 
Lickitung, Licking Pokémon, ベロリンガ, Beroringa, #0108, https://archives.bulbagarden.net/wiki/Category:Lickitung, Normal, None, Own Tempo, Oblivious, Cloud Nine, 90, 55, 75, 60, 75, 30, 
Koffing, Poison Gas Pokémon, ドガース, Dogars, #0109, https://archives.bulbagarden.net/wiki/Category:Koffing, Poison, None, Levitate, Neutralizing Gas, Stench, 40, 65, 95, 60, 45, 35, 
Weezing, Poison Gas Pokémon, マタドガス, Matadogas, #0110, https://archives.bulbagarden.net/wiki/Category:Weezing, Poison, None, Levitate, Neutralizing Gas, Stench, 65, 90, 120, 85, 70, 60, 
Rhyhorn, Spikes Pokémon, サイホーン, Sihorn, #0111, https://archives.bulbagarden.net/wiki/Category:Rhyhorn, Ground, Rock, Lightning Rod, Rock Head, Reckless, 80, 85, 95, 30, 30, 25, 
Rhydon, Drill Pokémon, サイドン, Sidon, #0112, https://archives.bulbagarden.net/wiki/Category:Rhydon, Ground, Rock, Lightning Rod, Rock Head, Reckless, 105, 130, 120, 45, 45, 40, 
Chansey, Egg Pokémon, ラッキー, Lucky, #0113, https://archives.bulbagarden.net/wiki/Category:Chansey, Normal, None, Natural Cure, Serene Grace, Healer, 250, 5, 5, 35, 105, 50, 
Tangela, Vine Pokémon, モンジャラ, Monjara, #0114, https://archives.bulbagarden.net/wiki/Category:Tangela, Grass, None, Chlorophyll, Leaf Guard, Regenerator, 65, 55, 115, 100, 40, 60, 
Kangaskhan, Parent Pokémon, ガルーラ, Garura, #0115, https://archives.bulbagarden.net/wiki/Category:Kangaskhan, Normal, None, Early Bird, Scrappy, Inner Focus, 105, 95, 80, 40, 80, 90, 
Horsea, Dragon Pokémon, タッツー, Tattu, #0116, https://archives.bulbagarden.net/wiki/Category:Horsea, Water, None, Swift Swim, Sniper, Damp, 30, 40, 70, 70, 25, 60, 
Seadra, Dragon Pokémon, シードラ, Seadra, #0117, https://archives.bulbagarden.net/wiki/Category:Seadra, Water, None, Poison Point, Sniper, Damp, 55, 65, 95, 95, 45, 85, 
Goldeen, Goldfish Pokémon, トサキント, Tosakinto, #0118, https://archives.bulbagarden.net/wiki/Category:Goldeen, Water, None, Swift Swim, Water Veil, Lightning Rod, 45, 67, 60, 35, 50, 63, 
Seaking, Goldfish Pokémon, アズマオウ, Azumao, #0119, https://archives.bulbagarden.net/wiki/Category:Seaking, Water, None, Swift Swim, Water Veil, Lightning Rod, 80, 92, 65, 65, 80, 68, 
Staryu,  Pokémon, ヒトデマン, Hitodeman, #0120, https://archives.bulbagarden.net/wiki/Category:Staryu, Water, None, Illuminate, Natural Cure, Analytic, 30, 45, 55, 70, 55, 85, 
Starmie, Mysterious Pokémon, スターミー, Starmie, #0121, https://archives.bulbagarden.net/wiki/Category:Starmie, Water, Psychic, Illuminate, Natural Cure, Analytic, 60, 75, 85, 100, 85, 115, 
Mr. Mime,  Pokémon, バリヤード, Barrierd, #0122, https://archives.bulbagarden.net/wiki/Category:Mr._Mime, Psychic, Fairy, Soundproof, Filter, Technician, 40, 45, 65, 100, 120, 90, 
Scyther, Mantis Pokémon, ストライク, Strike, #0123, https://archives.bulbagarden.net/wiki/Category:Scyther, Bug, Flying, Swarm, Technician, Steadfast, 70, 110, 80, 55, 80, 105, 
Jynx,  Pokémon, ルージュラ, Rougela, #0124, https://archives.bulbagarden.net/wiki/Category:Jynx, Ice, Psychic, Oblivious, Forewarn, Dry Skin, 65, 50, 35, 115, 95, 95, 
Electabuzz, Electric Pokémon, エレブー, Eleboo, #0125, https://archives.bulbagarden.net/wiki/Category:Electabuzz, Electric, None, Static, None, Vital Spirit, 65, 83, 57, 95, 85, 105, 
Magmar, Spitfire Pokémon, ブーバー, Boober, #0126, https://archives.bulbagarden.net/wiki/Category:Magmar, Fire, None, Flame Body, None, Vital Spirit, 65, 95, 57, 100, 85, 93, 
Pinsir,  Pokémon, カイロス, Kailios, #0127, https://archives.bulbagarden.net/wiki/Category:Pinsir, Bug, None, Hyper Cutter, Mold Breaker, Moxie, 65, 125, 100, 55, 70, 85, 
Tauros, Wild Bull Pokémon, ケンタロス, Kentauros, #0128, https://archives.bulbagarden.net/wiki/Category:Tauros, Normal, None, Intimidate, Anger Point, Sheer Force, 75, 100, 95, 40, 70, 110, 
Magikarp, Fish Pokémon, コイキング, Koiking, #0129, https://archives.bulbagarden.net/wiki/Category:Magikarp, Water, None, Swift Swim, None, Rattled, 20, 10, 55, 15, 20, 80, 
Gyarados, Atrocious Pokémon, ギャラドス, Gyarados, #0130, https://archives.bulbagarden.net/wiki/Category:Gyarados, Water, Flying, Intimidate, None, Moxie, 95, 125, 79, 60, 100, 81, 
Lapras, Transport Pokémon, ラプラス, Laplace, #0131, https://archives.bulbagarden.net/wiki/Category:Lapras, Water, Ice, Water Absorb, Shell Armor, Hydration, 130, 85, 80, 85, 95, 60, 
Ditto, Transform Pokémon, メタモン, Metamon, #0132, https://archives.bulbagarden.net/wiki/Category:Ditto, Normal, None, Limber, None, Imposter, 48, 48, 48, 48, 48, 48, 
Eevee, Evolution Pokémon, イーブイ, Eievui, #0133, https://archives.bulbagarden.net/wiki/Category:Eevee, Normal, None, Run Away, Adaptability, Anticipation, 55, 55, 50, 45, 65, 55, 
Vaporeon, Bubble Jet Pokémon, シャワーズ, Showers, #0134, https://archives.bulbagarden.net/wiki/Category:Vaporeon, Water, None, Water Absorb, None, Hydration, 130, 65, 60, 110, 95, 65, 
Jolteon, Lightning Pokémon, サンダース, Thunders, #0135, https://archives.bulbagarden.net/wiki/Category:Jolteon, Electric, None, Volt Absorb, None, Quick Feet, 65, 65, 60, 110, 95, 130, 
