Name, Move
Venusaur, Giga Impact
Venusaur, Frenzy Plant
Venusaur, Growl
Venusaur, Bullet Seed
Venusaur, Earthquake
Venusaur, Sweet Scent
Venusaur, Synthesis
Venusaur, Sleep Powder
Venusaur, Swords Dance
Venusaur, Sludge Bomb
Venusaur, Poison Jab
Venusaur, Take Down
Venusaur, Scary Face
Venusaur, Leaf Storm
Venusaur, Tera Blast
Venusaur, Hyper Beam
Venusaur, Grassy Glide
Venusaur, Amnesia
Venusaur, Weather Ball
Venusaur, Venoshock
Venusaur, Ingrain
Venusaur, Petal Dance
Venusaur, Grass Pledge
Venusaur, Power Whip
Venusaur, Helping Hand
Venusaur, Solar Beam
Venusaur, False Swipe
Venusaur, Rest
Venusaur, Giga Drain
Venusaur, Knock Off
Venusaur, Seed Bomb
Venusaur, Stomping Tantrum
Venusaur, Bulldoze
Venusaur, Protect
Venusaur, Leech Seed
Venusaur, Toxic
Venusaur, Acid Spray
Venusaur, Tackle
Venusaur, Razor Leaf
Venusaur, Endure
Venusaur, Facade
Venusaur, Sleep Talk
Venusaur, Vine Whip
Venusaur, Poison Powder
Venusaur, Sunny Day
Venusaur, Roar
Venusaur, Grass Knot
Venusaur, Curse
Venusaur, Earth Power
Venusaur, Grassy Terrain
Venusaur, Growth
Venusaur, Magical Leaf
Venusaur, Body Slam
Venusaur, Worry Seed
Venusaur, Charm
Charmander, Rock Slide
Charmander, Metal Claw
Charmander, Substitute
Charmander, Fire Fang
Charmander, Heat Wave
Charmander, Ember
Charmander, Dragon Rush
Charmander, Scratch
Charmander, Brick Break
Charmander, Outrage
Charmander, Fire Punch
Charmander, Overheat
Charmander, Growl
Charmander, Crunch
Charmander, Inferno
Charmander, Focus Punch
Charmander, Dragon Tail
Charmander, Swift
Charmander, Swords Dance
Charmander, Take Down
Charmander, Scary Face
Charmander, Tera Blast
Charmander, Focus Blast
Charmander, Dragon Dance
Charmander, Iron Tail
Charmander, Weather Ball
Charmander, Bite
Charmander, Dig
Charmander, Flame Charge
Charmander, Dragon Breath
Charmander, Thunder Punch
Charmander, Ancient Power
Charmander, Helping Hand
Charmander, False Swipe
Charmander, Dragon Claw
Charmander, Rest
Charmander, Fire Spin
Charmander, Counter
Charmander, Protect
Charmander, Temper Flare
Charmander, Smokescreen
Charmander, Flare Blitz
Charmander, Endure
Charmander, Sleep Talk
Charmander, Facade
Charmander, Flamethrower
Charmander, Dragon Pulse
Charmander, Slash
Charmander, Sunny Day
Charmander, Roar
Charmander, Breaking Swipe
Charmander, Fire Pledge
Charmander, Belly Drum
Charmander, Fling
Charmander, Will-O-Wisp
Charmander, Body Slam
Charmander, Rock Tomb
Charmander, Shadow Claw
Charmander, Fire Blast
Charmeleon, Rock Slide
Charmeleon, Substitute
Charmeleon, Metal Claw
Charmeleon, Fire Fang
Charmeleon, Heat Wave
Charmeleon, Ember
Charmeleon, Dragon Rush
Charmeleon, Scratch
Charmeleon, Brick Break
Charmeleon, Outrage
Charmeleon, Fire Punch
Charmeleon, Overheat
Charmeleon, Growl
Charmeleon, Crunch
Charmeleon, Inferno
Charmeleon, Focus Punch
Charmeleon, Dragon Tail
Charmeleon, Swift
Charmeleon, Swords Dance
Charmeleon, Take Down
Charmeleon, Scary Face
Charmeleon, Tera Blast
Charmeleon, Focus Blast
Charmeleon, Dragon Dance
Charmeleon, Iron Tail
Charmeleon, Weather Ball
Charmeleon, Bite
Charmeleon, Dig
Charmeleon, Flame Charge
Charmeleon, Dragon Breath
Charmeleon, Thunder Punch
Charmeleon, Ancient Power
Charmeleon, Helping Hand
Charmeleon, False Swipe
Charmeleon, Dragon Claw
Charmeleon, Rest
Charmeleon, Fire Spin
Charmeleon, Counter
Charmeleon, Protect
Charmeleon, Temper Flare
Charmeleon, Smokescreen
Charmeleon, Flare Blitz
Charmeleon, Endure
Charmeleon, Sleep Talk
Charmeleon, Facade
Charmeleon, Flamethrower
Charmeleon, Dragon Pulse
Charmeleon, Slash
Charmeleon, Sunny Day
Charmeleon, Roar
Charmeleon, Breaking Swipe
Charmeleon, Fire Pledge
Charmeleon, Belly Drum
Charmeleon, Fling
Charmeleon, Will-O-Wisp
Charmeleon, Body Slam
Charmeleon, Rock Tomb
Charmeleon, Shadow Claw
Charmeleon, Fire Blast
Charizard, Rock Slide
Charizard, Substitute
Charizard, Aerial Ace
Charizard, Metal Claw
Charizard, Heat Wave
Charizard, Fire Fang
Charizard, Fly
Charizard, Double-Edge
Charizard, Ember
Charizard, Dragon Rush
Charizard, Scratch
Charizard, Brick Break
Charizard, Sandstorm
Charizard, Giga Impact
Charizard, Blast Burn
Charizard, Fire Punch
Charizard, Outrage
Charizard, Overheat
Charizard, Growl
Charizard, Crunch
Charizard, Inferno
Charizard, Earthquake
Charizard, Dragon Tail
Charizard, Swift
Charizard, Swords Dance
Charizard, Focus Punch
Charizard, Take Down
Charizard, Scary Face
Charizard, Tera Blast
Charizard, Focus Blast
Charizard, Dragon Dance
Charizard, Hyper Beam
Charizard, Iron Tail
Charizard, Weather Ball
Charizard, Bite
Charizard, Dig
Charizard, Flame Charge
Charizard, Acrobatics
Charizard, Dragon Breath
Charizard, Thunder Punch
Charizard, Ancient Power
Charizard, Helping Hand
Charizard, Body Slam
Charizard, Dragon Claw
Charizard, Rest
Charizard, Solar Beam
Charizard, False Swipe
Charizard, Scorching Sands
Charizard, Heat Crash
Charizard, Dragon Cheer
Charizard, Fire Spin
Charizard, Bulldoze
Charizard, Counter
Charizard, Protect
Charizard, Temper Flare
Charizard, Smokescreen
Charizard, Flare Blitz
Charizard, Endure
Charizard, Sleep Talk
Charizard, Facade
Charizard, Flamethrower
Charizard, Dragon Pulse
Charizard, Air Slash
Charizard, Slash
Charizard, Sunny Day
Charizard, Roar
Charizard, Breaking Swipe
Charizard, Fire Pledge
Charizard, Belly Drum
Charizard, Fling
Charizard, Will-O-Wisp
Charizard, Hurricane
Charizard, Air Cutter
Charizard, Rock Tomb
Charizard, Shadow Claw
Charizard, Fire Blast
Squirtle, Withdraw
Squirtle, Substitute
Squirtle, Ice Punch
Squirtle, Double-Edge
Squirtle, Brick Break
Squirtle, Aqua Jet
Squirtle, Focus Punch
Squirtle, Water Gun
Squirtle, Mist
Squirtle, Aqua Tail
Squirtle, Ice Beam
Squirtle, Take Down
Squirtle, Tera Blast
Squirtle, Tail Whip
Squirtle, Surf
Squirtle, Weather Ball
Squirtle, Bite
Squirtle, Dig
Squirtle, Water Pulse
Squirtle, Iron Defense
Squirtle, Ice Spinner
Squirtle, Muddy Water
Squirtle, Mud Shot
Squirtle, Liquidation
Squirtle, Flip Turn
Squirtle, Helping Hand
Squirtle, Rest
Squirtle, Life Dew
Squirtle, Icy Wind
Squirtle, Rapid Spin
Squirtle, Hydro Pump
Squirtle, Wave Crash
Squirtle, Mirror Coat
Squirtle, Water Pledge
Squirtle, Zen Headbutt
Squirtle, Rain Dance
Squirtle, Fake Out
Squirtle, Yawn
Squirtle, Protect
Squirtle, Blizzard
Squirtle, Gyro Ball
Squirtle, Whirlpool
Squirtle, Flail
Squirtle, Tackle
Squirtle, Endure
Squirtle, Sleep Talk
Squirtle, Facade
Squirtle, Water Spout
Squirtle, Chilling Water
Squirtle, Shell Smash
Squirtle, Haze
Squirtle, Fling
Squirtle, Aqua Ring
Squirtle, Body Slam
Wartortle, Withdraw
Wartortle, Substitute
Wartortle, Ice Punch
Wartortle, Double-Edge
Wartortle, Brick Break
Wartortle, Aqua Jet
Wartortle, Focus Punch
Wartortle, Water Gun
Wartortle, Mist
Wartortle, Aqua Tail
Wartortle, Ice Beam
Wartortle, Take Down
Wartortle, Tera Blast
Wartortle, Tail Whip
Wartortle, Surf
Wartortle, Weather Ball
Wartortle, Bite
Wartortle, Dig
Wartortle, Water Pulse
Wartortle, Iron Defense
Wartortle, Ice Spinner
Wartortle, Muddy Water
Wartortle, Mud Shot
Wartortle, Liquidation
Wartortle, Flip Turn
Wartortle, Helping Hand
Wartortle, Rest
Wartortle, Life Dew
Wartortle, Icy Wind
Wartortle, Rapid Spin
Wartortle, Hydro Pump
Wartortle, Wave Crash
Wartortle, Mirror Coat
Wartortle, Water Pledge
Wartortle, Zen Headbutt
Wartortle, Rain Dance
Wartortle, Fake Out
Wartortle, Yawn
Wartortle, Protect
Wartortle, Blizzard
Wartortle, Gyro Ball
Wartortle, Whirlpool
Wartortle, Flail
Wartortle, Tackle
Wartortle, Endure
Wartortle, Sleep Talk
Wartortle, Facade
Wartortle, Water Spout
Wartortle, Chilling Water
Wartortle, Shell Smash
Wartortle, Haze
Wartortle, Fling
Wartortle, Aqua Ring
Wartortle, Body Slam
Blastoise, Withdraw
Blastoise, Rock Slide
Blastoise, Substitute
Blastoise, Ice Punch
Blastoise, Avalanche
Blastoise, Double-Edge
Blastoise, Brick Break
Blastoise, Giga Impact
Blastoise, Aqua Jet
Blastoise, Body Press
Blastoise, Crunch
Blastoise, Earthquake
Blastoise, Water Gun
Blastoise, Focus Punch
Blastoise, Mist
Blastoise, Aqua Tail
Blastoise, Ice Beam
Blastoise, Take Down
Blastoise, Scary Face
Blastoise, Tera Blast
Blastoise, Focus Blast
Blastoise, Hyper Beam
Blastoise, Tail Whip
Blastoise, Surf
Blastoise, Smack Down
Blastoise, Bite
Blastoise, Weather Ball
Blastoise, Dig
Blastoise, Water Pulse
Blastoise, Iron Defense
Blastoise, Ice Spinner
Blastoise, Muddy Water
Blastoise, Hydro Cannon
Blastoise, Mud Shot
Blastoise, Liquidation
Blastoise, Flip Turn
Blastoise, Dark Pulse
Blastoise, Aura Sphere
Blastoise, Rest
Blastoise, Helping Hand
Blastoise, Life Dew
Blastoise, Icy Wind
Blastoise, Rapid Spin
Blastoise, Hydro Pump
Blastoise, Wave Crash
Blastoise, Mirror Coat
Blastoise, Water Pledge
Blastoise, Zen Headbutt
Blastoise, Rain Dance
Blastoise, Fake Out
Blastoise, Yawn
Blastoise, Protect
Blastoise, Blizzard
Blastoise, Gyro Ball
Blastoise, Whirlpool
Blastoise, Flail
Blastoise, Tackle
Blastoise, Endure
Blastoise, Sleep Talk
Blastoise, Facade
Blastoise, Dragon Pulse
Blastoise, Water Spout
Blastoise, Roar
Blastoise, Chilling Water
Blastoise, Shell Smash
Blastoise, Haze
Blastoise, Fling
Blastoise, Aqua Ring
Blastoise, Body Slam
Blastoise, Rock Tomb
Blastoise, Flash Cannon
Caterpie, Bug Bite
Caterpie, String Shot
Caterpie, Electroweb
Caterpie, Snore
Caterpie, Tackle
Metapod, Harden
Metapod, Bug Bite
Metapod, String Shot
Metapod, Electroweb
Metapod, Iron Defense
Metapod, Snore
Metapod, Tackle
Butterfree, Harden
Butterfree, Headbutt
Butterfree, Snore
Butterfree, Energy Ball
Butterfree, Pollen Puff
Butterfree, Confusion
Butterfree, Bug Buzz
Butterfree, Infestation
Butterfree, Secret Power
Butterfree, String Shot
Butterfree, Gust
Butterfree, Acrobatics
Butterfree, Supersonic
Butterfree, Rage
Butterfree, Bug Bite
Butterfree, Mimic
Butterfree, Ominous Wind
Butterfree, Facade
Butterfree, Captivate
Butterfree, Nightmare
Butterfree, Psywave
Butterfree, Psybeam
Butterfree, Double-Edge
Butterfree, Tailwind
Butterfree, Electroweb
Butterfree, Giga Impact
Butterfree, Silver Wind
Butterfree, Psychic
Butterfree, Sweet Scent
Butterfree, Take Down
Butterfree, Dual Wingbeat
Butterfree, Razor Wind
Butterfree, Draining Kiss
Butterfree, Quiver Dance
Butterfree, Whirlwind
Butterfree, Twister
Butterfree, Psych Up
Butterfree, Protect
Butterfree, Attract
Butterfree, Poison Powder
Butterfree, Air Slash
Butterfree, Natural Gift
Butterfree, Air Cutter
Butterfree, Flash
Butterfree, Aerial Ace
Butterfree, Return
Butterfree, Reflect
Butterfree, U-turn
Butterfree, Swift
Butterfree, Teleport
Butterfree, Stun Spore
Butterfree, Sleep Powder
Butterfree, Iron Defense
Butterfree, Confide
Butterfree, Round
Butterfree, Rest
Butterfree, Shadow Ball
Butterfree, Endure
Butterfree, Sleep Talk
Butterfree, Sunny Day
Butterfree, Signal Beam
Butterfree, Mega Drain
Butterfree, Hidden Power
Butterfree, Skill Swap
Butterfree, Substitute
Butterfree, Roost
Butterfree, Defog
Butterfree, Struggle Bug
Butterfree, Hyper Beam
Butterfree, Rage Powder
Butterfree, Venoshock
Butterfree, Solar Beam
Butterfree, Giga Drain
Butterfree, Double Team
Butterfree, Swagger
Butterfree, Frustration
Butterfree, Rain Dance
Butterfree, Safeguard
Butterfree, Dream Eater
Butterfree, Toxic
Butterfree, Tackle
Butterfree, Morning Sun
Butterfree, Thief
Butterfree, Curse
Butterfree, Hurricane
Butterfree, Baton Pass
Butterfree, Bide
Weedle, String Shot
Weedle, Poison Sting
Weedle, Bug Bite
Kakuna, String Shot
Kakuna, Harden
Kakuna, Poison Sting
Kakuna, Bug Bite
Beedrill, Harden
Beedrill, Roost
Beedrill, Aerial Ace
Beedrill, Substitute
Beedrill, Agility
Beedrill, Brick Break
Beedrill, Defog
Beedrill, Fell Stinger
Beedrill, Focus Energy
Beedrill, Giga Impact
Beedrill, U-turn
Beedrill, Swords Dance
Beedrill, Sludge Bomb
Beedrill, Poison Jab
Beedrill, Poison Sting
Beedrill, Fury Cutter
Beedrill, Hyper Beam
Beedrill, String Shot
Beedrill, Venoshock
Beedrill, Payback
Beedrill, Pin Missile
Beedrill, Solar Beam
Beedrill, Rest
Beedrill, Bug Bite
Beedrill, Giga Drain
Beedrill, False Swipe
Beedrill, Double Team
Beedrill, Assurance
Beedrill, Swagger
Beedrill, Laser Focus
Beedrill, Protect
Beedrill, Endure
Beedrill, Sleep Talk
Beedrill, Facade
Beedrill, Attract
Beedrill, Cut
Beedrill, Thief
Beedrill, Fury Attack
Beedrill, Sunny Day
Beedrill, Rock Smash
Beedrill, Endeavor
Beedrill, Toxic Spikes
Beedrill, Flash
Beedrill, X-Scissor
Pidgey, Substitute
Pidgey, Roost
Pidgey, Aerial Ace
Pidgey, Agility
Pidgey, Fly
Pidgey, Pluck
Pidgey, Tailwind
Pidgey, Defog
Pidgey, Wing Attack
Pidgey, Brave Bird
Pidgey, U-turn
Pidgey, Steel Wing
Pidgey, Sand Attack
Pidgey, Uproar
Pidgey, Gust
Pidgey, Whirlwind
Pidgey, Twister
Pidgey, Rest
Pidgey, Work Up
Pidgey, Double Team
Pidgey, Swagger
Pidgey, Feather Dance
Pidgey, Quick Attack
Pidgey, Rain Dance
Pidgey, Protect
Pidgey, Tackle
Pidgey, Endure
Pidgey, Sleep Talk
Pidgey, Facade
Pidgey, Attract
Pidgey, Thief
Pidgey, Air Slash
Pidgey, Sunny Day
Pidgey, Hurricane
Pidgey, Air Cutter
Pidgeotto, Substitute
Pidgeotto, Roost
Pidgeotto, Aerial Ace
Pidgeotto, Agility
Pidgeotto, Fly
Pidgeotto, Pluck
Pidgeotto, Tailwind
Pidgeotto, Defog
Pidgeotto, Wing Attack
Pidgeotto, Brave Bird
Pidgeotto, U-turn
Pidgeotto, Steel Wing
Pidgeotto, Sand Attack
Pidgeotto, Uproar
Pidgeotto, Gust
Pidgeotto, Whirlwind
Pidgeotto, Twister
Pidgeotto, Rest
Pidgeotto, Work Up
Pidgeotto, Double Team
Pidgeotto, Swagger
Pidgeotto, Feather Dance
Pidgeotto, Quick Attack
Pidgeotto, Rain Dance
Pidgeotto, Protect
Pidgeotto, Tackle
Pidgeotto, Endure
Pidgeotto, Sleep Talk
Pidgeotto, Facade
Pidgeotto, Attract
Pidgeotto, Thief
Pidgeotto, Air Slash
Pidgeotto, Sunny Day
Pidgeotto, Hurricane
Pidgeotto, Air Cutter
Pidgeot, Substitute
Pidgeot, Roost
Pidgeot, Aerial Ace
Pidgeot, Agility
Pidgeot, Fly
Pidgeot, Pluck
Pidgeot, Tailwind
Pidgeot, Defog
Pidgeot, Giga Impact
Pidgeot, Wing Attack
Pidgeot, Brave Bird
Pidgeot, U-turn
Pidgeot, Steel Wing
Pidgeot, Sand Attack
Pidgeot, Hyper Beam
Pidgeot, Uproar
Pidgeot, Gust
Pidgeot, Whirlwind
Pidgeot, Twister
Pidgeot, Rest
Pidgeot, Work Up
Pidgeot, Double Team
Pidgeot, Swagger
Pidgeot, Feather Dance
Pidgeot, Quick Attack
Pidgeot, Rain Dance
Pidgeot, Protect
Pidgeot, Tackle
Pidgeot, Endure
Pidgeot, Sleep Talk
Pidgeot, Facade
Pidgeot, Attract
Pidgeot, Thief
Pidgeot, Air Slash
Pidgeot, Sunny Day
Pidgeot, Hurricane
Pidgeot, Air Cutter
Rattata, Thunder
Rattata, Substitute
Rattata, Pluck
Rattata, Double-Edge
Rattata, Focus Energy
Rattata, Final Gambit
Rattata, Screech
Rattata, Crunch
Rattata, Reversal
Rattata, Sludge Bomb
Rattata, Ice Beam
Rattata, Take Down
Rattata, Iron Tail
Rattata, Shock Wave
Rattata, Tail Whip
Rattata, Bite
Rattata, Uproar
Rattata, Dig
Rattata, Last Resort
Rattata, Rest
Rattata, Taunt
Rattata, Work Up
Rattata, Double Team
Rattata, Assurance
Rattata, Shadow Ball
Rattata, Revenge
Rattata, Swagger
Rattata, Sucker Punch
Rattata, Laser Focus
Rattata, Quick Attack
Rattata, Rain Dance
Rattata, Counter
Rattata, Blizzard
Rattata, Protect
Rattata, Super Fang
Rattata, Thunderbolt
Rattata, Tackle
Rattata, Charge Beam
Rattata, Endure
Rattata, Facade
Rattata, Attract
Rattata, Sleep Talk
Rattata, Thief
Rattata, Cut
Rattata, Sunny Day
Rattata, Thunder Wave
Rattata, Rock Smash
Rattata, Grass Knot
Rattata, Flame Wheel
Rattata, Endeavor
Rattata, Fury Swipes
Raticate, Thunder
Raticate, Substitute
Raticate, Pluck
Raticate, Double-Edge
Raticate, Giga Impact
Raticate, Focus Energy
Raticate, Final Gambit
Raticate, Screech
Raticate, Crunch
Raticate, Reversal
Raticate, Swords Dance
Raticate, Sludge Bomb
Raticate, Ice Beam
Raticate, Take Down
Raticate, Scary Face
Raticate, Iron Tail
Raticate, Hyper Beam
Raticate, Shock Wave
Raticate, Tail Whip
Raticate, Bite
Raticate, Uproar
Raticate, Dig
Raticate, Strength
Raticate, Last Resort
Raticate, Rest
Raticate, Taunt
Raticate, Work Up
Raticate, Double Team
Raticate, Assurance
Raticate, Shadow Ball
Raticate, Revenge
Raticate, Swagger
Raticate, Sucker Punch
Raticate, Laser Focus
Raticate, Quick Attack
Raticate, Rain Dance
Raticate, Counter
Raticate, Blizzard
Raticate, Protect
Raticate, Super Fang
Raticate, Thunderbolt
Raticate, Tackle
Raticate, Charge Beam
Raticate, Endure
Raticate, Facade
Raticate, Attract
Raticate, Sleep Talk
Raticate, Thief
Raticate, Cut
Raticate, Sunny Day
Raticate, Roar
Raticate, Thunder Wave
Raticate, Grass Knot
Raticate, Rock Smash
Raticate, Flame Wheel
Raticate, Endeavor
Raticate, Fury Swipes
Spearow, Substitute
Spearow, Roost
Spearow, Aerial Ace
Spearow, Agility
Spearow, Fly
Spearow, Pluck
Spearow, Defog
Spearow, Wing Attack
Spearow, Focus Energy
Spearow, Growl
Spearow, U-turn
Spearow, Steel Wing
Spearow, Sky Attack
Spearow, Take Down
Spearow, Scary Face
Spearow, Uproar
Spearow, Tri Attack
Spearow, Whirlwind
Spearow, Rest
Spearow, False Swipe
Spearow, Drill Peck
Spearow, Work Up
Spearow, Double Team
Spearow, Assurance
Spearow, Swagger
Spearow, Feather Dance
Spearow, Rain Dance
Spearow, Quick Attack
Spearow, Protect
Spearow, Endure
Spearow, Sleep Talk
Spearow, Peck
Spearow, Facade
Spearow, Attract
Spearow, Thief
Spearow, Fury Attack
Spearow, Sunny Day
Spearow, Leer
Spearow, Astonish
Fearow, Substitute
Fearow, Roost
Fearow, Aerial Ace
Fearow, Agility
Fearow, Fly
Fearow, Pluck
Fearow, Defog
Fearow, Giga Impact
Fearow, Wing Attack
Fearow, Focus Energy
Fearow, Growl
Fearow, U-turn
Fearow, Steel Wing
Fearow, Sky Attack
Fearow, Take Down
Fearow, Scary Face
Fearow, Hyper Beam
Fearow, Uproar
Fearow, Tri Attack
Fearow, Whirlwind
Fearow, Rest
Fearow, False Swipe
Fearow, Drill Peck
Fearow, Work Up
Fearow, Double Team
Fearow, Assurance
Fearow, Swagger
Fearow, Feather Dance
Fearow, Rain Dance
Fearow, Quick Attack
Fearow, Protect
Fearow, Endure
Fearow, Sleep Talk
Fearow, Peck
Fearow, Facade
Fearow, Attract
Fearow, Thief
Fearow, Fury Attack
Fearow, Drill Run
Fearow, Sunny Day
Fearow, Leer
Fearow, Astonish
Ekans, Rock Slide
Ekans, Substitute
Ekans, Fire Fang
Ekans, Skitter Smack
Ekans, Trailblaze
Ekans, Double-Edge
Ekans, Coil
Ekans, Screech
Ekans, Switcheroo
Ekans, Mud-Slap
Ekans, Poison Tail
Ekans, Crunch
Ekans, Earthquake
Ekans, Scale Shot
Ekans, Sludge Bomb
Ekans, Poison Jab
Ekans, Take Down
Ekans, Scary Face
Ekans, Poison Sting
Ekans, Tera Blast
Ekans, Poison Fang
Ekans, Wrap
Ekans, Bite
Ekans, Acid
Ekans, Dig
Ekans, Venoshock
Ekans, Mud Shot
Ekans, Spit Up
Ekans, Dark Pulse
Ekans, Spite
Ekans, Rest
Ekans, Giga Drain
Ekans, Sludge Wave
Ekans, Glare
Ekans, Seed Bomb
Ekans, Knock Off
Ekans, Gastro Acid
Ekans, Sucker Punch
Ekans, Rain Dance
Ekans, Protect
Ekans, Snarl
Ekans, Toxic
Ekans, Belch
Ekans, Acid Spray
Ekans, Swallow
Ekans, Endure
Ekans, Facade
Ekans, Sleep Talk
Ekans, Thief
Ekans, Leech Life
Ekans, Sunny Day
Ekans, Lash Out
Ekans, Haze
Ekans, Leer
Ekans, Psychic Fangs
Ekans, Toxic Spikes
Ekans, Stockpile
Ekans, Rock Tomb
Ekans, Gunk Shot
Arbok, Rock Slide
Arbok, Substitute
Arbok, Fire Fang
Arbok, Skitter Smack
Arbok, Trailblaze
Arbok, Double-Edge
Arbok, Coil
Arbok, Pain Split
Arbok, Giga Impact
Arbok, Screech
Arbok, Switcheroo
Arbok, Mud-Slap
Arbok, Poison Tail
Arbok, Crunch
Arbok, Earthquake
Arbok, Scale Shot
Arbok, Dragon Tail
Arbok, Sludge Bomb
Arbok, Poison Jab
Arbok, Take Down
Arbok, Scary Face
Arbok, Poison Sting
Arbok, Tera Blast
Arbok, Hyper Beam
Arbok, Poison Fang
Arbok, Wrap
Arbok, Bite
Arbok, Acid
Arbok, Dig
Arbok, Venoshock
Arbok, Throat Chop
Arbok, Mud Shot
Arbok, Spit Up
Arbok, Dark Pulse
Arbok, Body Slam
Arbok, Rest
Arbok, Spite
Arbok, Giga Drain
Arbok, Sludge Wave
Arbok, Glare
Arbok, Seed Bomb
Arbok, Stomping Tantrum
Arbok, Gastro Acid
Arbok, Bulldoze
Arbok, Knock Off
Arbok, Sucker Punch
Arbok, Rain Dance
Arbok, Protect
Arbok, Snarl
Arbok, Toxic
Arbok, Belch
Arbok, Acid Spray
Arbok, Swallow
Arbok, Endure
Arbok, Facade
Arbok, Sleep Talk
Arbok, Ice Fang
Arbok, Thief
Arbok, Leech Life
Arbok, Sunny Day
Arbok, Lash Out
Arbok, Thunder Fang
Arbok, Breaking Swipe
Arbok, Haze
Arbok, Leer
Arbok, Psychic Fangs
Arbok, Toxic Spikes
Arbok, Stockpile
Arbok, Rock Tomb
Arbok, Gunk Shot
Pikachu, Present
Pikachu, Thunder
Pikachu, Substitute
Pikachu, Agility
Pikachu, Encore
Pikachu, Fly
Pikachu, Tickle
Pikachu, Trailblaze
Pikachu, Nasty Plot
Pikachu, Brick Break
Pikachu, Electroweb
Pikachu, Nuzzle
Pikachu, Reflect
Pikachu, Growl
Pikachu, Reversal
Pikachu, Focus Punch
Pikachu, Eerie Impulse
Pikachu, Swift
Pikachu, Electro Ball
Pikachu, Iron Tail
Pikachu, Take Down
Pikachu, Volt Switch
Pikachu, Play Rough
Pikachu, Tera Blast
Pikachu, Charge
Pikachu, Tail Whip
Pikachu, Surf
Pikachu, Draining Kiss
Pikachu, Dig
Pikachu, Light Screen
Pikachu, Wish
Pikachu, Fake Tears
Pikachu, Discharge
Pikachu, Thunder Punch
Pikachu, Play Nice
Pikachu, Upper Hand
Pikachu, Helping Hand
Pikachu, Rest
Pikachu, Alluring Voice
Pikachu, Double Team
Pikachu, Knock Off
Pikachu, Wild Charge
Pikachu, Sweet Kiss
Pikachu, Disarming Voice
Pikachu, Fake Out
Pikachu, Quick Attack
Pikachu, Rain Dance
Pikachu, Protect
Pikachu, Flail
Pikachu, Charge Beam
Pikachu, Thunderbolt
Pikachu, Endure
Pikachu, Sleep Talk
Pikachu, Facade
Pikachu, Thunder Shock
Pikachu, Thief
Pikachu, Thunder Wave
Pikachu, Grass Knot
Pikachu, Volt Tackle
Pikachu, Electric Terrain
Pikachu, Fling
Pikachu, Feint
